Date,AdjustedClose,Return
04/06/21,306.26,-0.86
04/05/21,308.91,3.43
04/01/21,298.66,1.40
03/31/21,294.53,2.27
03/30/21,288.00,-0.97
03/29/21,290.82,2.76
03/26/21,283.02,1.54
03/25/21,278.74,-1.21
03/24/21,282.14,-2.92
03/23/21,290.63,-0.99
03/22/21,293.54,1.18
03/19/21,290.11,4.12
03/18/21,278.62,-1.90
03/17/21,284.01,1.69
03/16/21,279.28,2.02
03/15/21,273.75,1.99
03/12/21,268.40,-2.00
03/11/21,273.88,3.39
03/10/21,264.90,-0.32
03/09/21,265.74,4.09
03/08/21,255.31,-3.39
03/05/21,264.28,2.58
03/04/21,257.64,0.87
03/03/21,255.41,-1.39
03/02/21,259.00,-2.23
03/01/21,264.91,2.83
02/26/21,257.62,1.15
02/25/21,254.69,-3.64
02/24/21,264.31,-0.58
02/23/21,265.86,2.12
02/22/21,260.33,-0.47
02/19/21,261.56,-2.91
02/18/21,269.39,-1.53
02/17/21,273.57,-0.15
02/16/21,273.97,1.28
02/12/21,270.50,0.04
02/11/21,270.39,-0.54
02/10/21,271.87,0.90
02/09/21,269.45,1.08
02/08/21,266.58,-0.57
02/05/21,268.10,0.60
02/04/21,266.49,-0.06
02/03/21,266.65,-0.16
02/02/21,267.08,1.94
02/01/21,262.01,1.42
01/29/21,258.33,-2.52
01/28/21,265.00,-2.62
01/27/21,272.14,-3.51
01/26/21,282.05,1.45
01/25/21,278.01,1.28
01/22/21,274.50,0.60
01/21/21,272.87,2.02
01/20/21,267.48,2.44
01/19/21,261.10,3.87
01/15/21,251.36,2.33
01/14/21,245.64,-2.38
01/13/21,251.64,0.22
01/12/21,251.09,-2.24
01/11/21,256.84,-4.01
01/08/21,267.57,-0.44
01/07/21,268.74,2.06
01/06/21,263.31,-2.83
01/05/21,270.97,0.75
01/04/21,268.94,-1.54
12/31/20,273.16,0.47
12/30/20,271.87,-1.77
12/29/20,276.78,-0.08
12/28/20,277.00,3.59
12/24/20,267.40,-0.26
12/23/20,268.11,0.38
12/22/20,267.09,-2.09
12/21/20,272.79,-1.31
12/18/20,276.40,0.70
12/17/20,274.48,-0.43
12/16/20,275.67,0.04
12/15/20,275.55,0.50
12/14/20,274.19,0.23
12/11/20,273.55,-1.29
12/10/20,277.12,-0.29
12/09/20,277.92,-1.93
12/08/20,283.40,-0.76
12/07/20,285.58,2.10
12/04/20,279.70,-0.76
12/03/20,281.85,-1.97
12/02/20,287.52,0.34
12/01/20,286.55,3.46
11/30/20,276.97,-0.30
11/27/20,277.81,0.81
11/25/20,275.59,-0.48
11/24/20,276.92,3.16
11/23/20,268.43,-0.47
11/20/20,269.70,-1.19
11/19/20,272.94,0.36
11/18/20,271.97,-1.10
11/17/20,275.00,-1.42
11/16/20,278.96,0.73
11/13/20,276.95,0.68
11/12/20,275.08,-0.51
11/11/20,276.48,1.49
11/10/20,272.43,-2.27
11/09/20,278.77,-4.99
11/06/20,293.41,-0.43
11/05/20,294.68,2.54
11/04/20,287.38,8.32
11/03/20,265.30,1.51
11/02/20,261.36,-0.67
10/30/20,263.11,-6.31
10/29/20,280.83,4.92
10/28/20,267.67,-5.51
10/27/20,283.29,2.23
10/26/20,277.11,-2.70
10/23/20,284.79,2.40
10/22/20,278.12,-0.22
10/21/20,278.73,4.17
10/20/20,267.56,2.36
10/19/20,261.40,-1.70
10/16/20,265.93,-0.30
10/15/20,266.72,-1.88
10/14/20,271.82,-1.56
10/13/20,276.14,0.14
10/12/20,275.75,4.27
10/09/20,264.45,0.26
10/08/20,263.76,2.19
10/07/20,258.12,-0.21
10/06/20,258.66,-2.26
10/05/20,264.65,1.81
10/02/20,259.94,-2.51
10/01/20,266.63,1.81
09/30/20,261.90,0.04
09/29/20,261.79,1.94
09/28/20,256.82,0.78
09/25/20,254.82,2.12
09/24/20,249.53,0.20
09/23/20,249.02,-2.25
09/22/20,254.75,2.66
09/21/20,248.15,-1.73
09/18/20,252.53,-0.90
09/17/20,254.82,-3.30
09/16/20,263.52,-3.27
09/15/20,272.42,2.36
09/14/20,266.15,-0.17
09/11/20,266.61,-0.55
09/10/20,268.09,-2.06
09/09/20,273.72,0.94
09/08/20,271.16,-4.09
09/04/20,282.73,-2.88
09/03/20,291.12,-3.76
09/02/20,302.50,2.39
09/01/20,295.44,0.76
08/31/20,293.20,-0.16
08/28/20,293.66,0.15
08/27/20,293.22,-3.52
08/26/20,303.91,8.22
08/25/20,280.82,3.47
08/24/20,271.39,1.64
08/21/20,267.01,-0.74
08/20/20,269.01,2.44
